x,y,z,Class
57.7,11.59,140.42,yaw
-20.97,-48.64,37.51,yaw
-9.51,-160.47,-0.43,yaw
-99.74,19.08,-250.14,yaw
-42.87,111.79,-250.14,yaw
27.69,140.93,-250.14,yaw
-42.92,-8.5,-125.86,yaw
-32.55,-22.15,203.05,yaw
-12.55,7.11,250.13,yaw
20.47,61.39,230.79,yaw
-92.96,-2.56,117.56,yaw
29.21,80.23,-121.19,yaw
-2.84,-94.47,-138.05,yaw
21.63,1.62,-105.37,yaw
-8.69,-250.14,-226.92,yaw
-25.1,-25.76,-201.05,yaw
66.84,7.17,-250.14,yaw
-0.99,21.11,-78.21,yaw
-16.08,0.99,212.7,yaw
-44.82,4,250.13,yaw
63.87,56.66,250.13,yaw
12.21,-38.06,-80.75,yaw
-82.31,14.21,-250.14,yaw
77.17,12.98,-250.14,yaw
-25.55,-19.63,-225.97,yaw
-44.31,-38.47,9.87,yaw
-41.08,-16.2,249.25,yaw
-3.13,-53.24,250.13,yaw
27.54,-109.42,240.83,yaw
-22.62,16.56,-111.45,yaw
-60.03,22.5,-250.14,yaw
-70.57,95.92,-250.14,yaw
-21.38,63.51,-41.1,yaw
-68.82,-16.52,107.54,yaw
-8.41,-7.93,250.13,yaw
-1.47,-115.86,250.13,yaw
-45.48,23.98,29.82,yaw
45.24,-43.71,-237.21,yaw
-94.58,-70.3,-250.14,yaw
-27.57,-49.51,-250.14,yaw
-77.33,78.48,53.87,yaw
76.79,-18.15,250.13,yaw
95.54,41.66,250.13,yaw
-63.48,-21.13,-13.24,yaw
-10.21,43.91,-233.44,yaw
-121.93,28.89,-250.14,yaw
65.48,24.34,-250.14,yaw
-47.4,-0.53,49.39,yaw
22.42,-23.72,250.13,yaw
155.18,2.96,250.13,yaw
-131.85,-15.3,200.58,yaw
-15.12,5,-40.48,yaw
42.89,-16.18,-250.14,yaw
-188.98,38.48,-250.14,yaw
4.95,93.85,-242.96,yaw
-9.96,-5.2,76.74,yaw
22.23,-119.44,250.13,yaw
250.13,158.47,250.13,yaw
-247.85,-10.01,250.13,yaw
-110.8,35.63,57.68,yaw
-32.45,166.41,-250.14,yaw
-79.54,68.15,-250.14,yaw
-59.8,45.07,-250.14,yaw
-6.54,2.11,35.74,yaw
42.08,-3.15,250.13,yaw
228.75,97.05,250.13,yaw
-137.48,-1.27,181.75,yaw
-81.54,28.15,-33.11,yaw
-59.59,-57.63,-250.14,yaw
-123.96,26.6,-250.14,yaw
-18.3,37.24,-185.53,yaw
30.8,29.82,250.13,yaw
29,29.27,250.13,yaw
-21.4,-57.14,250.13,yaw
-76.02,5.23,100.47,yaw
84.76,-46.9,-250.14,yaw
-83.94,37.67,-250.14,yaw
-22.38,-21.88,-250.14,yaw
-44.24,38.71,-123.45,yaw
29.03,66.21,198.42,yaw
17.05,20.82,173.34,yaw
78.09,6.43,187.08,yaw
-133.82,-25.3,127.44,yaw
-94.22,-23.95,230.65,yaw
60.16,5.93,150.62,yaw
-24.99,-0.23,47.41,yaw
-36.76,35.65,-170.58,yaw
-4.08,-49.15,-250.14,yaw
-46.19,-0.68,-250.14,yaw
-16.15,33.64,-58.05,yaw
-2.58,10.13,135.73,yaw
48.86,7.79,235.28,yaw
54.17,-23.8,250.13,yaw
-53.1,-55.29,87.6,yaw
28,52.99,-122.56,yaw
-59.21,-46.94,-214.34,yaw
-22.85,37.22,-41.89,yaw
1.34,26.29,4.52,yaw
-16.66,-20.69,5.08,yaw
-0.43,-3.01,12.87,yaw
-2.01,-83.12,217.49,yaw
-8.4,67.04,134.46,yaw
20.6,-62.46,101.27,yaw
51.24,19.15,-250.14,yaw
-51.38,-111.36,-157.53,yaw
2.69,108.55,-163.53,yaw
-23.32,-71.95,-130.59,yaw
-45.18,115.01,184.39,yaw
53.4,161.98,250.13,yaw
-73.59,-246.15,180.02,yaw
38.98,19.89,132.24,yaw
41.8,10.77,-250.14,yaw
17.76,-17.51,-92.88,yaw
-39.69,-2.39,-92.83,yaw
-56.5,-28.53,19.17,yaw
-5.28,-26.02,250.13,yaw
39.73,-59.31,250.13,yaw
-26.63,-31.21,66.98,yaw
-72.85,45.18,-250.14,yaw
-98.24,-71.87,-250.14,yaw
-25.04,65.34,-238.75,yaw
-31.02,-13.54,-48.56,yaw
-7.53,-79.05,250.13,yaw
86.11,34.53,250.13,yaw
55.13,-76.42,234.66,yaw
5.86,15.47,4.5,yaw
-83.4,-39.5,-250.14,yaw
-88.96,126.66,-250.14,yaw
-27.4,59.66,-146.69,yaw
14.07,-19.5,250.13,yaw
37.32,12.22,250.13,yaw
16,-67.15,250.13,yaw
81.86,-8.66,86.02,yaw
-87.16,107.63,-250.14,yaw
