x,y,z,Class
-250.14,-82.47,-81.18,pitch
-250.14,-89.22,-101.99,pitch
-250.14,-17.77,-164.54,pitch
11.05,-38.43,32.02,pitch
250.13,54,94.42,pitch
250.13,63.68,141.19,pitch
250.13,189.45,20.95,pitch
-80.95,-56.49,24.07,pitch
-250.14,-132.08,-71.02,pitch
-250.14,-57.83,-89.25,pitch
-250.14,19.34,-118.5,pitch
-46.85,-44.19,-19.61,pitch
250.13,34.98,149.44,pitch
250.13,30.11,63.67,pitch
250.13,90.21,7.4,pitch
-158.18,-43.95,-18.91,pitch
-250.14,-108.48,-166.35,pitch
-250.14,-77.78,-92.95,pitch
-157.49,21.87,-36.08,pitch
119.18,44.37,47.22,pitch
250.13,-17.28,144.81,pitch
250.13,83.31,116.11,pitch
170,67.46,14.11,pitch
-250.14,-56.02,-34.27,pitch
-250.14,-147.71,-136.01,pitch
-250.14,12.02,-98.14,pitch
-16.36,-55.59,13.72,pitch
250.13,13.46,62.88,pitch
250.13,52.66,108.78,pitch
250.13,155.6,43.18,pitch
88.92,54.42,10.77,pitch
-250.14,-76.91,-70.69,pitch
-250.14,-79.31,-60.69,pitch
-223.04,-14.91,-72.26,pitch
179.95,35.27,20.15,pitch
250.13,-34.72,54.87,pitch
250.13,94.02,9.56,pitch
99.63,4.54,13.89,pitch
53.36,7.39,5.18,pitch
-124.69,-14.95,-8.11,pitch
-250.14,-41.67,-88.18,pitch
-246.79,-79.24,34.07,pitch
129.24,4.53,27.37,pitch
223.57,21.51,21.34,pitch
146.67,1.82,-2.63,pitch
102.92,9.6,9.7,pitch
111.4,49.47,7.21,pitch
11.6,16.12,-1.42,pitch
-0.2,8.23,2.92,pitch
-14.26,3.4,0.91,pitch
-243.94,-10.76,-29.94,pitch
-242.83,28.92,4.73,pitch
-250.14,-85.34,-74.45,pitch
-250.14,-48.14,-115.69,pitch
250.13,28.56,53.15,pitch
250.13,50.4,46.22,pitch
250.13,91.69,13.05,pitch
224.61,49.66,51.14,pitch
-66.57,2.52,-0.6,pitch
-250.14,-67.45,-60.39,pitch
-250.14,-37.89,-68.82,pitch
-250.14,-24.49,-108.75,pitch
-160.72,25.11,-66.21,pitch
183.97,91.98,70.98,pitch
250.13,-25.33,107.72,pitch
250.13,15.14,67.58,pitch
250.13,114.44,49.42,pitch
13.19,12.78,-9.31,pitch
-250.14,-142.05,-89.16,pitch
-250.14,-155.6,-63.67,pitch
-250.14,-37.47,-102.85,pitch
10.87,-25.37,36.31,pitch
250.13,67.47,62.11,pitch
250.13,-4.11,11.04,pitch
250.13,55.39,15.56,pitch
182.18,98.08,24.03,pitch
-33.24,19.82,-15.25,pitch
-250.14,-97.81,-82.46,pitch
-250.14,-135.03,-25.98,pitch
-54.93,-48.82,31.27,pitch
-57.52,5.73,-4.4,pitch
158.98,14.61,38.53,pitch
250.13,-39.06,93.85,pitch
250.13,126.53,13.3,pitch
-25.24,-24.37,-2.59,pitch
-250.14,-29.02,-83.06,pitch
-250.14,-120.93,-47.92,pitch
-250.14,27.12,-64.99,pitch
-8.08,25.64,21.08,pitch
250.13,42.91,26.85,pitch
250.13,56.5,37.21,pitch
198.7,-0.48,18.59,pitch
64.89,13.42,-0.63,pitch
-186.19,-19.87,26.52,pitch
-250.14,6.25,-2.58,pitch
-250.14,-28.88,-149.07,pitch
-3.31,-7.17,14.11,pitch
144.37,-25.56,25.43,pitch
250.13,3.85,-4.27,pitch
191.24,-17.05,-30.98,pitch
219.92,16.69,-2.8,pitch
93.45,33.81,5.25,pitch
-191.98,-14.7,20.96,pitch
-250.14,-10.02,68.57,pitch
-250.14,15.44,-93,pitch
66.16,-6.05,23.73,pitch
250.13,36.75,102.12,pitch
250.13,57.11,13.52,pitch
150.04,-33.72,26.08,pitch
-250.14,120.15,-9.92,pitch
-250.14,-87.47,-39.32,pitch
-106.91,-67.1,-5.69,pitch
190.55,105.89,41.06,pitch
250.13,86.43,94.02,pitch
204.66,14.01,6.85,pitch
123.35,27.15,5.83,pitch
-163.78,19.43,-17.07,pitch
-250.14,51.18,-64.46,pitch
-235.02,-33.89,-116.63,pitch
-116.53,-37.9,-55.66,pitch
179.58,-64.08,43.28,pitch
250.13,-83.96,87.48,pitch
250.13,-10.88,11.02,pitch
198.78,44.55,-49.42,pitch
54.41,-6.54,-38.27,pitch
-250.14,53.61,-17.08,pitch
-250.14,-6.64,-34.28,pitch
-250.14,-0.25,-163.74,pitch
-54.15,2.25,-44.89,pitch
111.45,-31.5,27.33,pitch
250.13,-21.9,61.88,pitch
250.13,-98.11,-3.57,pitch
250.13,8.72,-33.28,pitch
128.1,4.42,-37.62,pitch
-113.69,33.33,-11.08,pitch
-250.14,-13.37,-54.07,pitch
-250.14,79.44,-45.8,pitch
-250.14,-42.34,-200.98,pitch
47.4,-9.07,26.21,pitch
250.13,-68.78,83.5,pitch
250.13,146.4,31.29,pitch
250.13,88.73,25.85,pitch
172.47,41.76,16.24,pitch
-64.06,-30.87,12.91,pitch
-250.14,-91.98,-68.22,pitch
-250.14,-145.42,-36.67,pitch
-250.14,-69.73,-125.49,pitch
182.63,32.02,74.48,pitch
250.13,39.51,101.45,pitch
250.13,-14.05,13.2,pitch
250.13,106.95,16.13,pitch
144.2,46.26,6.86,pitch
-63.37,-13.18,-20.29,pitch
-250.14,-141.29,-57.17,pitch
-250.14,-141.79,-50.41,pitch
-250.14,-73.61,-152.17,pitch
-29.89,21.35,19.08,pitch
250.13,87.14,166.35,pitch
250.13,-3.95,86.45,pitch
250.13,68.88,46.02,pitch
250.13,57.53,32.05,pitch
32.96,4.65,27,pitch
-250.14,-73.4,-34.74,pitch
-250.14,-50.24,-84.52,pitch
-250.14,6.21,-88.23,pitch
-218.25,21.87,-20.27,pitch
89.3,30.68,34.35,pitch
250.13,3.47,82.31,pitch
250.13,56.18,48.43,pitch
250.13,85.42,34.57,pitch
250.13,92.45,43.91,pitch
-55.26,-18.37,7.69,pitch
-250.14,-109.15,-31.93,pitch
-250.14,-74.56,-59.6,pitch
-250.14,-53.85,-78,pitch
-160.86,11.7,14.73,pitch
71.38,57.15,27.56,pitch
250.13,-31.02,126.06,pitch
250.13,0.68,67.83,pitch
250.13,93.33,40.4,pitch
184.97,36.31,3.18,pitch
-202.44,-46.04,-13.55,pitch
-250.14,-117.89,-20.32,pitch
-250.14,-145.45,-76.98,pitch
-250.14,-56.95,-109.73,pitch
-18.17,4.38,38.31,pitch
250.13,56.4,37.89,pitch
250.13,47.73,8.59,pitch
250.13,98.73,44.63,pitch
250.13,150.53,33.95,pitch
250.13,79.33,9.24,pitch
-42.73,-2.78,7.47,pitch
-250.14,-127.98,-36.62,pitch
-250.14,-154.5,-39.98,pitch
-250.14,-104.68,-143.06,pitch
-2.98,-51.47,53.92,pitch
218.44,66.07,48.96,pitch
250.13,5.63,17.98,pitch
250.13,86.44,68.18,pitch
250.13,49.44,56.63,pitch
250.13,38.71,34.08,pitch
-136.3,-38.31,-0.9,pitch
-250.14,-118.62,-73.18,pitch
-250.14,-78.81,-98.9,pitch
-250.14,-113.58,-126.56,pitch
-15.92,-7.04,33.98,pitch
129.11,57.99,47.84,pitch
250.13,9.2,107.89,pitch
250.13,-22.11,88.38,pitch
250.13,138.92,14.57,pitch
76.98,16.21,20.44,pitch
-250.14,-74.81,-35.12,pitch
-250.14,-44.21,-55.37,pitch
-250.14,-26.98,-77.75,pitch
-250.14,51.19,-123.06,pitch
-12.14,42.34,13.5,pitch
250.13,41.07,64.08,pitch
250.13,-8.2,43.98,pitch
250.13,58.46,45.67,pitch
250.13,83.95,15.91,pitch
55.12,-17.77,2.58,pitch
-250.14,-54.85,-28.34,pitch
-250.14,-61.25,-46.33,pitch
-250.14,-42.65,-74.98,pitch
-250.14,1.2,-141.55,pitch
-41.54,0.34,33.25,pitch
222.65,25.13,45.08,pitch
250.13,3.14,130.84,pitch
250.13,28.59,125.85,pitch
250.13,108.91,39.8,pitch
202.66,36.65,11.54,pitch
-68.53,9.05,-34.5,pitch
-250.14,-116.6,-30.15,pitch
-250.14,-36.85,-55.25,pitch
-250.14,-65.59,-151.54,pitch
2.93,-54.89,57.97,pitch
194.41,53.26,52.28,pitch
250.13,-2.4,51.83,pitch
250.13,52.8,51.02,pitch
250.13,61.03,2.04,pitch
48.7,-10.47,-1.21,pitch
-250.14,-39.18,-7.83,pitch
-250.14,-56.09,23.3,pitch
-250.14,-52.78,-24.5,pitch
-250.14,-97.26,-115.37,pitch
-112.93,-38.97,-25.78,pitch
226.4,49.89,51.19,pitch
250.13,39.68,42.08,pitch
250.13,41.67,85.98,pitch
250.13,85.6,-4.5,pitch
63.79,0.78,15.59,pitch
-72.62,-16.31,9.02,pitch
-250.14,-99.84,-48.81,pitch
-250.14,-92.15,-80.43,pitch
-250.14,-91.79,-167.68,pitch
67.05,-38.09,80.02,pitch
250.13,41.08,100.13,pitch
250.13,16.8,12.5,pitch
250.13,72.91,21.47,pitch
237.25,74.1,-25.82,pitch
193.63,55.16,7.84,pitch
-48.19,-12.31,35.54,pitch
-250.14,-86,-28.16,pitch
-250.14,-2.56,-57.26,pitch
-250.14,-7.6,-130.69,pitch
-37.47,14.23,55.53,pitch
68.24,10.19,35.39,pitch
250.13,0.42,125.68,pitch
250.13,36.65,33.54,pitch
250.13,103.35,-8.44,pitch
191.31,73.21,0.3,pitch
45.04,16.76,21.1,pitch
-250.14,-73.06,-52.3,pitch
-250.14,-47.71,-30.97,pitch
-250.14,-19.3,-161.32,pitch
-22.33,-34.57,50.18,pitch
227.24,65.81,64.2,pitch
250.13,7.02,21.27,pitch
250.13,59.78,35.04,pitch
250.13,108.15,12.11,pitch
243.7,71.89,13.44,pitch
37.02,-1.29,19.8,pitch
-250.14,-52.84,-8.14,pitch
-250.14,-64.23,-29.56,pitch
-250.14,-13.67,-118.68,pitch
-156.2,66.43,-42.4,pitch
141.82,69.47,44.98,pitch
250.13,20.51,99.86,pitch
250.13,33.94,30.31,pitch
250.13,77.8,22.53,pitch
45.03,-8.13,10.87,pitch
-164.94,-1.93,-6.42,pitch
-250.14,2.97,-129.48,pitch
-250.14,-102.79,-100.08,pitch
-250.14,-75.8,-83.6,pitch
40.05,27.97,17.43,pitch
250.13,15.52,102.08,pitch
250.13,3.39,56.56,pitch
250.13,85.04,69.32,pitch
250.13,104.13,29.66,pitch
-36.43,-26.66,22.22,pitch
-250.14,-82.07,-107.21,pitch
-250.14,-22.96,-113.56,pitch
-250.14,10.95,-96.83,pitch
-113.34,14.64,-18.94,pitch
151.53,39.55,29.6,pitch
250.13,18.95,43.89,pitch
250.13,63.14,59.27,pitch
250.13,133.17,47.71,pitch
167.61,69.32,33.37,pitch
-250.14,-72.84,-64.79,pitch
-250.14,-200.96,-65.57,pitch
-250.14,-140.32,-51.37,pitch
-87.13,39.73,-2.66,pitch
250.13,66.88,104.23,pitch
250.13,60.73,29.57,pitch
250.13,55.67,32.9,pitch
153.8,35.53,36,pitch
236.55,117.56,42.56,pitch
42.72,-3.3,19.08,pitch
-172.15,-49.52,-32.14,pitch
-250.14,-135.94,-98.76,pitch
-250.14,-117.68,-76.18,pitch
-250.14,-20.67,-201.04,pitch
147.56,11.97,100.27,pitch
237.24,35.79,51.8,pitch
250.13,64.89,59.5,pitch
250.13,107.18,23.18,pitch
166.5,42.7,13.84,pitch
-81.76,-25.03,-3.44,pitch
-250.14,-111.74,-50.98,pitch
-250.14,-240.09,-3.04,pitch
-250.14,-96.51,-95.13,pitch
-84.52,-9.45,15.35,pitch
226.66,37.27,32.36,pitch
250.13,79,51.18,pitch
250.13,91.3,33.96,pitch
250.13,68.35,26.64,pitch
58.92,7.3,5.83,pitch
-249.64,-99.82,3.85,pitch
-250.14,-137.92,-16.51,pitch
-250.14,-97.53,-13.53,pitch
-152.72,29,16.11,pitch
84.53,-14.74,7.71,pitch
250.13,79.89,50.17,pitch
250.13,65.66,49.23,pitch
250.13,63.97,29.05,pitch
-40.36,43.53,14.19,pitch
-250.14,-92.18,-70.92,pitch
-250.14,-111.36,-195.6,pitch
-250.14,-66.51,-157.57,pitch
250.13,103.53,116.27,pitch
250.13,80.07,18.27,pitch
250.13,-29.86,24.08,pitch
250.13,175.04,26.06,pitch
98.01,8.52,11.7,pitch
-246.17,-49.85,-26.63,pitch
-250.14,-77.42,-36.4,pitch
-250.14,-72.31,-28.69,pitch
-250.14,-7.63,-124.71,pitch
48.29,-32.86,34.33,pitch
250.13,12.47,114.35,pitch
250.13,66.84,20.12,pitch
250.13,179.47,50.05,pitch
-91.07,-38.89,-13.22,pitch
-250.14,-53.89,-59.31,pitch
-250.14,-160.3,-36.15,pitch
-237.85,-25.28,-48.08,pitch
79.26,-8.2,-4.98,pitch
250.13,-12.86,8.27,pitch
244.37,28.21,-27.66,pitch
138.01,62.97,-9.99,pitch
-250.14,62.01,-4.97,pitch
-250.14,-38,-70.69,pitch
-121.81,70.38,14.31,pitch
105.86,-48.96,35.63,pitch
250.13,-194.91,-30.87,pitch
250.13,38.69,-78.16,pitch
193.51,26.44,-56.4,pitch
-176.75,90.37,-26.93,pitch
-250.14,-217.18,-67.24,pitch
-250.14,-94.21,-20.85,pitch
-121.41,53.32,-14.08,pitch
96.8,-41.97,67.87,pitch
250.13,175.58,135.85,pitch
250.13,-39.24,94.08,pitch
120.94,43.88,59.56,pitch
-250.14,-104.32,-36.92,pitch
-250.14,-90.79,-77.8,pitch
-250.14,-156.49,-42.74,pitch
-49.16,58.05,-19.56,pitch
172.82,24.6,33.61,pitch
250.13,-79.04,-13.58,pitch
191.38,54.34,-13.92,pitch
155.08,126.15,42.12,pitch
-119.46,-61.59,8.31,pitch
-250.14,74.37,-105.92,pitch
-199.35,-33.39,-48.9,pitch
-32.22,-2.15,32.65,pitch
130.06,-37.03,-5.34,pitch
250.13,8.68,88.87,pitch
206.45,37.22,20.23,pitch
144.31,26.11,41.55,pitch
-186.12,-21.44,-14.31,pitch
-250.14,56.65,-106.5,pitch
-250.14,57.79,-89.44,pitch
-250.14,-42.68,-158.32,pitch
65.89,-51.82,18.77,pitch
250.13,38.44,77.77,pitch
250.13,63.63,88.63,pitch
250.13,93.24,117.98,pitch
-35.4,-8.19,-6.08,pitch
-250.14,-3.72,-93.02,pitch
-250.14,-75.49,-109.06,pitch
-250.14,-75.5,-102.48,pitch
-66.95,-38.2,-17.17,pitch
221.67,34.82,42.76,pitch
250.13,130.31,47.39,pitch
250.13,65.54,141.34,pitch
77.42,10.76,20.48,pitch
-14.67,-34.86,13.89,pitch
-250.14,9.6,-38.21,pitch
-250.14,-115.08,-114.2,pitch
-250.14,-22.3,-133.14,pitch
-26.92,6.7,26.24,pitch
132.56,24.98,66.13,pitch
250.13,5.29,96.93,pitch
250.13,-22.97,4.64,pitch
165.05,62.34,7.65,pitch
94.59,5.55,23.19,pitch
100.21,9.11,13.21,pitch
91.26,22.63,28.92,pitch
-250.14,47.52,-9.81,pitch
-250.14,-37.6,-72.7,pitch
-250.14,-55.85,-90.4,pitch
-135.56,-63.24,-19.74,pitch
250.13,39.82,49.66,pitch
250.13,25.62,4.6,pitch
250.13,92.87,4.99,pitch
214.36,3.96,41.12,pitch
11,-24.18,20.96,pitch
-219.93,109.08,-28.89,pitch
-250.14,75.77,-195.93,pitch
-250.14,2.91,-189.33,pitch
-189.29,-88.99,-82.11,pitch
103.97,-32.18,45.86,pitch
250.13,-59.78,39.01,pitch
250.13,45.4,-9.5,pitch
250.13,89.83,27.53,pitch
84.24,-49.66,34.64,pitch
-43.92,22.33,0.74,pitch
-250.14,104.16,-80.2,pitch
-250.14,8.72,-153.79,pitch
-250.14,-14.51,-159.55,pitch
-73.18,-71.27,-30.23,pitch
79.98,-7.98,23.56,pitch
250.13,-123.13,41.79,pitch
250.13,66.34,-35.48,pitch
250.13,55.71,28.95,pitch
39.02,-29.33,32.03,pitch
-199.2,135.18,-22.92,pitch
-250.14,-7.75,-129.76,pitch
-250.14,12.41,-164.11,pitch
-223.14,-43.96,-101.75,pitch
72.75,3.38,41.17,pitch
250.13,-26.96,69.53,pitch
250.13,45.44,-3.91,pitch
250.13,32.9,29.37,pitch
20.54,5.09,29.5,pitch
-166.83,42.53,-14.32,pitch
-250.14,91.78,-67.31,pitch
-250.14,22.89,-128.56,pitch
-250.14,9.98,-133,pitch
18.06,-31.66,5.54,pitch
250.13,75.22,97.15,pitch
250.13,19.78,106.95,pitch
250.13,13.32,86.34,pitch
104.1,-45.46,34.64,pitch
26.24,-3.64,6.67,pitch
-250.14,64.07,-117.95,pitch
