x,y,z,Class
-46.75,-250.14,-114.96,roll
10.16,-147.43,-50.21,roll
-10.24,101.85,16.39,roll
34.93,250.13,52.66,roll
-3.42,250.13,83.53,roll
-40.76,250.13,39.25,roll
-22.38,169.75,-16.44,roll
-21.85,45.63,-7.65,roll
30.6,-250.14,-62.24,roll
12.06,-250.14,-30.53,roll
29.36,-250.14,-58.29,roll
54.56,-135.63,-4.85,roll
1.47,93.89,38.71,roll
-35.12,250.13,78.89,roll
-51.5,250.13,13.14,roll
-3.18,219.21,-13.37,roll
10.05,141.15,-5.41,roll
10.57,41.18,7.28,roll
19.4,-159.73,-4.69,roll
35.96,-250.14,-43.34,roll
16.73,-250.14,-58.51,roll
31.87,-250.14,-66.92,roll
40.63,-124.13,-29.73,roll
19.95,-9.66,5.85,roll
19.69,250.13,75.62,roll
-26.69,250.13,21.68,roll
-35.05,250.13,14.45,roll
-8.15,250.13,-13.4,roll
-14.3,93.18,-19.19,roll
-26.05,-52.56,11.32,roll
37.52,-250.14,-38.17,roll
31.63,-250.14,-20.69,roll
26.38,-250.14,-42.68,roll
32.29,-215.88,-55.5,roll
21.26,-9.28,-3.02,roll
-2.21,205.23,40.77,roll
16.67,250.13,37.22,roll
-19,250.13,-0.2,roll
-48.71,250.13,29.31,roll
-24.52,226.06,8.24,roll
-12.85,196.15,15.53,roll
-5.86,57.15,4.85,roll
-6.34,-105.07,5.62,roll
40.21,-250.14,-46.35,roll
0.53,-250.14,-4.66,roll
28.81,-250.14,-79.34,roll
63.83,-223.87,-90.35,roll
28.97,-78.95,1.53,roll
1.92,83.69,18.18,roll
14.9,250.13,68.24,roll
-89.27,250.13,23.6,roll
-47.84,250.13,26.6,roll
-3.24,250.13,19.94,roll
-12.54,77.43,-23.66,roll
21.78,-250.14,-26.41,roll
35.33,-250.14,-2.52,roll
19.79,-250.14,-6.54,roll
11.82,-250.14,-34.8,roll
37.27,-210.02,-48.02,roll
23.82,84.15,19.91,roll
78.72,250.13,28.93,roll
56.2,250.13,3.53,roll
0.24,250.13,-25.62,roll
-14.74,-40.28,-42.76,roll
27.61,-72.4,33.83,roll
-83.01,-54.7,55.5,roll
-58.76,-250.14,78.89,roll
10.4,-150.95,-36.76,roll
14.92,-121.05,-32.92,roll
-6.32,-109.89,6.63,roll
-8.31,-17.62,8.04,roll
51.48,173.17,48.37,roll
47.4,250.13,-40.73,roll
-39.04,250.13,-70.02,roll
-8.55,152.27,-23.4,roll
-57.93,24.88,35.93,roll
-15.34,-115.27,28.24,roll
17.44,-250.14,37.18,roll
-5.4,-250.14,24.71,roll
-5.13,-182.24,61.98,roll
28.15,-65.91,20.15,roll
-27.83,52.62,-0.29,roll
29.18,250.13,-92.31,roll
-6.63,250.13,-82.04,roll
-64.92,250.13,-42.13,roll
-31.35,34.55,13.18,roll
-12.95,-24.83,-31.05,roll
5.05,-132.94,45.15,roll
-51.49,-230.68,16.34,roll
-10.53,-167.74,38.5,roll
48.65,-158.05,-35.73,roll
26.02,-103.05,4.31,roll
-12.16,246.18,-16.58,roll
-23.45,250.13,-59.34,roll
-9.33,242.83,-46.83,roll
9.79,7.81,12.42,roll
18.78,-238.58,2.85,roll
12.61,-216.57,-12.31,roll
0.26,-250.14,4.83,roll
19.07,-140.5,-11.11,roll
33.21,-105.6,24.18,roll
-18.76,12.85,-2.92,roll
